PRODUCTO;CLASIFICACIÓN;PRESENTACIÓN;DESCRIPCIÓN P/WEB
AVIA SOL 108 CONCENTRADO ;NAVAL NDUSTRIAL ;X LT / X5 / X10 / X25 LTS;Desengrasante industrial de uso universal. Ideal para superficies contaminadas. Su pH alcalino garantiza un gran desempeño en superficies metálicas. Producto no abrasivo y biodegradable, no agresivo con la piel y no emite gases tóxicos. Recomendado para su uso en salas de máquinas, talleres, elevadores, cintas transportadoras etc. También recomendado para el mantenimiento de cubiertas de pesca, bodegas y mamparos. Producto altamente concentrado permite una dilucion de hasta 50 a 1
AVIA SOL 110 CONCENTRADO ;NAVAL NDUSTRIAL ;X LT / X5 / X10 / X25 LTS;Desengrasante industrial de uso múltiple con aprobación de SENASA. A su alta capacidad de hidrolización de grasas y aceites se suma un gran poder bactericida, virucida y fungicida. Gran concentración, permite dilución hasta 1 en 50. Ideal para limpieza de frigoríficos de carnes rojas, aves, pescado, cocinas, depósitos, cintas transportadoras, bodegas, elementos de corte, entre otros.  
SANITARIO INTEGRAL TF CONCENTRADO ;NAVAL NDUSTRIAL ;X LT / X5 / X10 / X25 LTS;Desodorizante y desinfectante de uso industrial.  Excelente poder biocida, acción antibacteriana y antifúngica a pH neutro. Recomendado para todo tipo de industrias y necesidades. Su pH neutro lo hace compatible con cualquier tipo de material o superficie. Por su gran concentración es posible su dosificación de hasta 1:400 
TECNI 3D ÁCIDA CONCENTRADO ;NAVAL NDUSTRIAL ;X LT / X5 / X10 / X25 LTS;Desengrasante de uso industrial. Detersivo espumígeno ácido. Permite remover grasas neutras, desinfecta y remueve particulas de oxido. No corroe ni daña superficies metálicas haciéndolo ideal para limpieza de mesas de trabajo, tanques, tolvas, bandejas, cortinas sanitarias, paredes frisos, etc.. Producto aprobado por SENASA ideal para su utilización en plantas procesadoras de alimento. Alta concentración, permite un gran margen de dilución
TECNI 3D ALCALINA CONCENTRADO ;NAVAL NDUSTRIAL ;X LT / X5 / X10 / X25 LTS;Desengrasante industrial especialmente formulado para plantas procesadoras de alimentos. Detersivo espumígeno clorado. Por su pH básico regulado este prudcto logra hidrolizar grasas y aceites pesados a la vez que las disuelven para lograr la remoción completa. Potente desengrasante con acción desinfectante ideal para todo tipo de superficies, altamente concentrado permitiendo una gran dilución y un gran resultado en poco tiempo. Producto aprobado por SENASA para su utilización en la industria alimentaria. 
TECNI DSC CONCENTRADO ;NAVAL NDUSTRIAL ;X LT / X5 / X12 / X25 KG;Desoxidante y fosfatizante para todo tipo de metales. Captura y disuelve los óxidos de hierro eliminando rastros de herrumbre. Deposita una fina capa de fosfato que mejora la adherencia para pinturas y recubrimientos. Al mismo tiempo posee una enérgica acción desengrasante que evita pasos de limpieza extra. Producto altamente concentrado, con resultados probados en cubiertas y superficies de embarcaciones
TECNI QMO CONCENTRADO ;NAVAL NDUSTRIAL ;X LT / X5 / X10 / X25 LTS;Desodorizante de acción intensiva. Desarrollado específicamente para la remoción de olores desagradables en ambientes cerrados, como baños, vestuarios, desagües sépticos, depósitos etc. Potente acción bactericida y fungicida que previene la proliferación de microorganismos que generan olores molestos. No ataca ni decolora superficies delicadas como plasticos y gomas, por lo que se recominenda para su uso en cañerías y sistemas de bombeo.
TECNI S02 (SOLVENTE DIELÉCTRICO);NAVAL NDUSTRIAL ;X LT / X5 / X10 / X25 LTS ;Solvente dieléctrico de alto punto de inflamación. Solvente desengrasante ideal para limpieza de componentes eléctricos y electrónicos en frío. Formulado con una selección de solventes de altísima calidad, el producto posee un alto punto de inflamación y una tensión de ruptura excepcionalmente elevadas. Se evapora sin dejar residuos y no requiere limpieza posterior. Especialmente indicado para limpieza de equipamiento eléctrico, bobinas, sistemas electrónicos, entre otros. 
TECNISOL ;NAVAL NDUSTRIAL ;X LT / X5 / X10 LTS ;Desengrasante industrial. Desarrollado específicamente para el tratamiento y mantenimiento de sentinas. Desprende y ablanda la suciedad, manteniéndola en su estado de suspensión, actuando el desengrasante como elemento antidepositante y eliminándolo por arrastre. Elimina peligro de incendios y no ataca materiales como madera, hierro, bronce, etc. 
AGUA LAVANDINA ;NAVAL NDUSTRIAL ;CAJA 3X5 LTS;
DESODORANTE DESINFECTANTE TF;NAVAL NDUSTRIAL ;X LT / X5 / X10 LTS / CAJA 3X5 LTS;
DESODORANTE DESINFECTANTE TF PLUS;NAVAL NDUSTRIAL ;X LT / X5 / X10 LTS;
DETERGENTE TF ;NAVAL NDUSTRIAL ;X LT / X5 / X10 LTS / CAJA 3X5 LTS;
DETERGENTE TF PLUS;NAVAL NDUSTRIAL ;X LT / X5 / X10 LTS;
ACIDO OXALICO (SAL DE LIMÓN);NAVAL NDUSTRIAL ;X1 / X25 KG;
AGUA DESTILADA ;NAVAL NDUSTRIAL ;X5 / X10 LTS;
AROMATIZADOR EN SPRAY 185 GS.;ARTÍCULOS VARIOS;;
BOLSAS 60 X 90 X 10 UN.;ARTÍCULOS VARIOS;;
BOLSAS 80 X 1 MTS X 50 UN.;ARTÍCULOS VARIOS;;
BOLSAS DE RESIDUOS 45 X 60 X 10 UN;ARTÍCULOS VARIOS;;
DISPENSER P/TOALLA EN ROLLO 100M;ARTÍCULOS VARIOS;;
DISPENSER PARA JABON LIQUIDO BLANCO ;ARTÍCULOS VARIOS;;
DISPENSER PARA PAP. HIG EN ROLLO BLANCO;ARTÍCULOS VARIOS;;
DISPENSER PARA TOALLAS EN ROLLO BLANCO ;ARTÍCULOS VARIOS;;
DISPENSER PARA TOALLAS INTERC. BCO;ARTÍCULOS VARIOS;;
BOBINA TOALLA EN  ROLLO (PACK 2X 300 MTS);ARTÍCULOS VARIOS;;
CAJA TOALLAS EN ROLLO BEIGE (10X250);ARTÍCULOS VARIOS;;
HIGIENICO EN ROLLO (PACK 8X300 MTS);ARTÍCULOS VARIOS;;
ROLLO TOALLAS (6 X 100 MTS);ARTÍCULOS VARIOS;;
ROLLO PAP. HIG SUELTO X 100 MTS;ARTÍCULOS VARIOS;;
PACK HIG 12 X 100 MTS;ARTÍCULOS VARIOS;;
ROLLO COCINA SUELTO 200 PAÑOS;ARTÍCULOS VARIOS;;
ROLLO COCINA 6X200 PAÑOS ;ARTÍCULOS VARIOS;;
BOTELLA COMUN X 1 LT;ARTÍCULOS VARIOS;;
BOTELLA PET ANILLADA X 1 LT;ARTÍCULOS VARIOS;;
BOTELLA COMUN X 1/2 LT;ARTÍCULOS VARIOS;;
BOTELLA COMUN X 1/4 LT;ARTÍCULOS VARIOS;;
