name;category;presentation;
AVIA SOL 108 CONCENTRADO ;NAVAL NDUSTRIAL ;X LT, X5 , X10,  X25 LTS;
AVIA SOL 110 CONCENTRADO ;NAVAL NDUSTRIAL ;X LT, X5 , X10,  X25 LTS;
AVIA SOL 110 BAJA ESPUMA CONCENTRADO;NAVAL NDUSTRIAL ;X 25 LTS;
SANITARIO INTEGRAL TF CONCENTRADO ;NAVAL NDUSTRIAL ;X LT, X5 , X10,  X25 LTS;
TECNI 3D ÁCIDA CONCENTRADO ;NAVAL NDUSTRIAL ;X LT, X5 , X10,  X25 LTS;
TECNI 3D ALCALINA CONCENTRADO ;NAVAL NDUSTRIAL ;X LT, X5 , X10,  X25 LTS;
TECNI DSC CONCENTRADO ;NAVAL NDUSTRIAL ;X LT, X5 , X10,  X25 KG;
TECNI QMO CONCENTRADO ;NAVAL NDUSTRIAL ;X LT, X5 , X10,  X25 LTS;
TECNI QMO ELE CONCENTRADO ;NAVAL NDUSTRIAL ;X LT, X5 , X10,  X25 LTS;
TECNI S02 (SOLVENTE DIELÉCTRICO);NAVAL NDUSTRIAL ;X LT, X5 , X10,  X25 LTS;
TECNISOL ;NAVAL NDUSTRIAL ;X LT , X5 , X10 LTS ;
AGUA LAVANDINA ;NAVAL NDUSTRIAL ;CAJA 3X5 LTS;
DESODORANTE DESINFECTANTE TF;NAVAL NDUSTRIAL ;X LT , X5 , X10 LTS,  CAJA 3X5 LTS;
DESODORANTE DESINFECTANTE TF PLUS;NAVAL NDUSTRIAL ;X LT , X5 , X10 LTS;
DETERGENTE TF ;NAVAL NDUSTRIAL ;X LT , X5 , X10 LTS,  CAJA 3X5 LTS;
DETERGENTE TF PLUS;NAVAL NDUSTRIAL ;X LT , X5 , X10 LTS;
ACIDO OXALICO (SAL DE LIMÓN);NAVAL NDUSTRIAL ;X1 ,  X25 KG;
AGUA DESTILADA ;NAVAL NDUSTRIAL ;X5 , X10 LTS;
AROMATIZADOR EN SPRAY 185 GS.;ARTÍCULOS VARIOS;;
BOLSAS 60 X 90 X 10 UN.;ARTÍCULOS VARIOS;;
BOLSAS 80 X 1 MTS X 50 UN.;ARTÍCULOS VARIOS;;
BOLSAS DE RESIDUOS 45 X 60 X 10 UN;ARTÍCULOS VARIOS;;
DISPENSER P/TOALLA EN ROLLO 100M;ARTÍCULOS VARIOS;;
DISPENSER PARA JABON LIQUIDO BLANCO ;ARTÍCULOS VARIOS;;
DISPENSER PARA PAP. HIG EN ROLLO BLANCO;ARTÍCULOS VARIOS;;
DISPENSER PARA TOALLAS EN ROLLO BLANCO ;ARTÍCULOS VARIOS;;
DISPENSER PARA TOALLAS INTERC. BCO;ARTÍCULOS VARIOS;;
BOBINA TOALLA EN  ROLLO (PACK 2X 300 MTS);ARTÍCULOS VARIOS;;
CAJA TOALLAS EN ROLLO BEIGE (10X250);ARTÍCULOS VARIOS;;
HIGIENICO EN ROLLO (PACK 8X300 MTS);ARTÍCULOS VARIOS;;
ROLLO TOALLAS (6 X 100 MTS);ARTÍCULOS VARIOS;;
ROLLO PAP. HIG SUELTO X 100 MTS;ARTÍCULOS VARIOS;;
PACK HIG 12 X 100 MTS;ARTÍCULOS VARIOS;;
ROLLO COCINA SUELTO 200 PAÑOS;ARTÍCULOS VARIOS;;
ROLLO COCINA 6X200 PAÑOS ;ARTÍCULOS VARIOS;;
BOTELLA COMUN X 1 LT;ARTÍCULOS VARIOS;;
BOTELLA PET ANILLADA X 1 LT;ARTÍCULOS VARIOS;;
BOTELLA COMUN X 1/2 LT;ARTÍCULOS VARIOS;;
BOTELLA COMUN X 1/4 LT;ARTÍCULOS VARIOS;;
BOTELLA PET X 1 LT C/GATILLO;ARTÍCULOS VARIOS;;
BOTELLA PET X 1/4 C/SPRAY;ARTÍCULOS VARIOS;;
GATILLO;ARTÍCULOS VARIOS;;
SPRAY;ARTÍCULOS VARIOS;;
BIDON TRANSLUCIDO X 5 LTS;ARTÍCULOS VARIOS;;
BIDON AMARILLO X 5 LTS;ARTÍCULOS VARIOS;;
BIDON TRANSLUCIDO X 10 LTS;ARTÍCULOS VARIOS;;
BIDON AMARILLO X 10 LTS;ARTÍCULOS VARIOS;;
GUANTES DE LATX X PAR;ARTÍCULOS VARIOS;;
GUANTES DE NITRILO X PAR;ARTÍCULOS VARIOS;;
CAJA DE GUANTES DE LATEX;ARTÍCULOS VARIOS;;
CAJA DE GUANTES DE NITRILO;ARTÍCULOS VARIOS;;
JABON EN PAN SEISEME X 300 GS;ARTÍCULOS VARIOS;;
GUANTES DE GOMA;ARTÍCULOS VARIOS;;
FLUIDO TIPO ACAROÍNA;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X1/2 ,  X5 LTS;
LAVANDINA EN GEL ;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X5 LTS;
JABON LÍQUIDO PARA ROPA AZUL ;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X5 LTS;
JABON LÍQUIDO PARA ROPA VERDE;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X5 LTS;
